Relation Type,Source,Count,Example Source,Example Target
OFFICER (SVP - Global Ops & ISC),SEC_FORM_4,1,Farrer Cynthia D,Allegion plc
OFFICER (SVP - HR & Communications),SEC_FORM_4,1,Meador Shelley A,Allegion plc
OFFICER (SVP - Human Resources & Safety),SEC_FORM_4,1,Brooks Christopher T,"OLD DOMINION FREIGHT LINE, INC."
"OFFICER (SVP - Human Resources, Safety)",SEC_FORM_4,1,Brooks Christopher T,"OLD DOMINION FREIGHT LINE, INC."
OFFICER (SVP - Legal Affairs GC and Sec),SEC_FORM_4,1,Parr Ross H.,"OLD DOMINION FREIGHT LINE, INC."
"OFFICER (SVP - Legal Affairs, GC & Sec.)",SEC_FORM_4,1,Parr Ross H.,"OLD DOMINION FREIGHT LINE, INC."
OFFICER (SVP - MKTG & PA & CHIEF CO),SEC_FORM_4,1,Caisley Charles A.,"Evergy, Inc."
OFFICER (SVP - Mktg. & Communications),SEC_FORM_4,1,Reiner Deborah M,"HCA Healthcare, Inc."
OFFICER (SVP - Operations),SEC_FORM_4,1,Kelley Christopher James,"OLD DOMINION FREIGHT LINE, INC."
OFFICER (SVP - PA & CHIEF CO),SEC_FORM_4,1,Caisley Charles A.,"Evergy, Inc."
OFFICER (SVP - PRODUCT LINE DEVELOPMENT),SEC_FORM_4,1,Devasahayam Adrian,VEECO INSTRUMENTS INC
OFFICER (SVP - Sales),SEC_FORM_4,1,Hartsell Steven W.,"OLD DOMINION FREIGHT LINE, INC."
OFFICER (SVP - Strategic Development),SEC_FORM_4,1,Overbey Cecil E. Jr.,"OLD DOMINION FREIGHT LINE, INC."
OFFICER (SVP - Title Insurance),SEC_FORM_4,1,MONROE CAROLYN,OLD REPUBLIC INTERNATIONAL CORP
OFFICER (SVP AND CFO),SEC_FORM_4,1,Martin Samuel Bates,"Celldex Therapeutics, Inc."
OFFICER (SVP Asset Development),SEC_FORM_4,1,McPhail James,Murphy USA Inc.
OFFICER (SVP Bus Optimiz & Collection),SEC_FORM_4,1,Dalby Marcel,WASTE MANAGEMENT INC
OFFICER (SVP CPO),SEC_FORM_4,1,Becker Marcus,CONSTELLIUM SE
OFFICER (SVP Card Issuing SLS & Bus Dev),SEC_FORM_4,1,Uffner Jerry,"Usio, Inc."
OFFICER (SVP Chief Accting&Tax Officer),SEC_FORM_4,1,Gode Gunnar,NISOURCE INC.
OFFICER (SVP Chief Information Officer),SEC_FORM_4,1,Klohn Steve,"Dave & Buster's Entertainment, Inc."
OFFICER (SVP Chief Innovation & Design),SEC_FORM_4,1,Martens Robert C.,Allegion plc
OFFICER (SVP Chief Medical Officer),SEC_FORM_4,1,Febbo Phillip G.,"ILLUMINA, INC."
OFFICER (SVP Chief Tech & Bus Servs Off),SEC_FORM_4,1,CHAPMAN JASON,ENTERGY CORP /DE/
OFFICER (SVP Chief Underwriting Officer),SEC_FORM_4,1,Hoffmann Michael J.,"James River Group Holdings, Inc."
OFFICER (SVP Co-Chief Operating Officer),SEC_FORM_4,1,Holderman Daniel P.,"Western Midstream Partners, LP"
OFFICER (SVP Continuous Improvement),SEC_FORM_4,1,HANIFORD JOSEPH E,CARPENTER TECHNOLOGY CORP
OFFICER (SVP Controller and CTO),SEC_FORM_4,1,Cox Jeremy,Hewlett Packard Enterprise Co
OFFICER (SVP Corp Business Development),SEC_FORM_4,1,GOSWAMI JOYDEEP,"ILLUMINA, INC."
OFFICER (SVP Corporate Development),SEC_FORM_4,1,Carson Robert G,WATERS CORP /DE/
OFFICER (SVP Customer Success & Ops),SEC_FORM_4,1,Lelah Noam,Allot Ltd.
OFFICER (SVP ENGINEERING),SEC_FORM_4,1,Pinnam Venkata Ramana,Brand Engagement Network Inc.
OFFICER (SVP Emerging Innovations Group),SEC_FORM_4,1,Verkleeren Ronald L,CORNING INC /NY
OFFICER (SVP FINANCE AND CONTROLLER),SEC_FORM_4,1,Krause Justin,Sezzle Inc.
OFFICER (SVP Finance & Accounting),SEC_FORM_4,1,Dhingra Gagan,"Lucid Group, Inc."
OFFICER (SVP Finance & Operations),SEC_FORM_4,1,Carr Douglas,"Century Therapeutics, Inc."
OFFICER (SVP Finance),SEC_FORM_4,1,Tigre Margaret,AES CORP
OFFICER (SVP Financial Reporting),SEC_FORM_4,1,Meinert Todd,MGM Resorts International
OFFICER (SVP Fuels),SEC_FORM_4,1,Emery Keith A.,Murphy USA Inc.
OFFICER (SVP GENERAL COUNSEL),SEC_FORM_4,1,King David Randolph,WILLIAMS SONOMA INC
OFFICER (SVP GGM RF & BROADBAND),SEC_FORM_4,1,Raley Zachary W,AMPHENOL CORP /DE/
OFFICER (SVP GGM WW RF & MICRO PROD),SEC_FORM_4,1,Raley Zachary W,AMPHENOL CORP /DE/
OFFICER (SVP Gen Counsel & Sec),SEC_FORM_4,1,DEE JAMES D,CARPENTER TECHNOLOGY CORP
OFFICER (SVP Gen Counsel & Secretary),SEC_FORM_4,1,DEE JAMES D,CARPENTER TECHNOLOGY CORP
OFFICER (SVP Gen Counsel and Sec),SEC_FORM_4,1,DEE JAMES D,CARPENTER TECHNOLOGY CORP
OFFICER (SVP Gen Counsel and Secretary),SEC_FORM_4,1,DEE JAMES D,CARPENTER TECHNOLOGY CORP
OFFICER (SVP Gen. Counsel & Secretary),SEC_FORM_4,1,Siebert Kevin Christopher,VIAVI SOLUTIONS INC.
OFFICER (SVP General Counsel Secretary),SEC_FORM_4,1,Winings Matthew S,Polaris Inc.
OFFICER (SVP General Counsel),SEC_FORM_4,1,FEINGOLD FELISE,KVH INDUSTRIES INC \DE\
OFFICER (SVP General Manager OSP),SEC_FORM_4,1,SCRIVANICH LUKE M,VIAVI SOLUTIONS INC.
OFFICER (SVP Global HR),SEC_FORM_4,1,Hackett Robert Barrett II,VISHAY INTERTECHNOLOGY INC
OFFICER (SVP Global Operations NSE),SEC_FORM_4,1,RONDINONE RALPH,VIAVI SOLUTIONS INC.
OFFICER (SVP Global Products & Supply),SEC_FORM_4,1,Gage Brodie,CIENA CORP
OFFICER (SVP Global R&D),SEC_FORM_4,1,DiPerna Dino,CIENA CORP
OFFICER (SVP Global Sales NSE),SEC_FORM_4,1,Staley Gary W,VIAVI SOLUTIONS INC.
OFFICER (SVP Global Sales and Marketing),SEC_FORM_4,1,Phipps Jason,CIENA CORP
OFFICER (SVP HR),SEC_FORM_4,1,MISTRY DINYAR B,PG&E Corp
OFFICER (SVP Human Health Global Mktg.),SEC_FORM_4,1,Garay Arpa,"Merck & Co., Inc."
OFFICER (SVP Human Resources and Admin),SEC_FORM_4,1,Cashion Tana K,DEVON ENERGY CORP/DE
OFFICER (SVP IT / CIO),SEC_FORM_4,1,Laterreur Claudio,VALMONT INDUSTRIES INC
OFFICER (SVP Innovation),SEC_FORM_4,1,CHUMLEY ROBERT J,Murphy USA Inc.
OFFICER (SVP Internal Assurance Svcs.),SEC_FORM_4,1,Sharp Jill D.,HALLIBURTON CO
OFFICER (SVP Latin American Operations),SEC_FORM_4,1,Ramos Raul,"FirstCash Holdings, Inc."
OFFICER (SVP Leasing),SEC_FORM_4,1,MILKIE BRETT P,BUCKLE INC
OFFICER (SVP Lifecycle Services),SEC_FORM_4,1,Fordenwalt Matthew W.,"ROCKWELL AUTOMATION, INC"
"OFFICER (SVP Log & Storage, MPLX GP LLC)",SEC_FORM_4,1,Lyon Shawn M,Marathon Petroleum Corp
OFFICER (SVP Merchandising),SEC_FORM_4,1,Woodward Scott G.,Murphy USA Inc.
OFFICER (SVP OF EASTERN STORE OPS/SALES),SEC_FORM_4,1,DUMAS ROBERT ALLEN,O REILLY AUTOMOTIVE INC
OFFICER (SVP Operations & Strategy),SEC_FORM_4,1,SCHLAGETER STEPHEN P,PULTEGROUP INC/MI/
OFFICER (SVP Operations & Sust.),SEC_FORM_4,1,Broadbent Simon Kenneth James,Oatly Group AB
OFFICER (SVP Operations),SEC_FORM_4,1,Archbold Brian David,MESA LABORATORIES INC /CO/
OFFICER (SVP Product Development),SEC_FORM_4,1,TOUSI SUSAN H,"ILLUMINA, INC."
"OFFICER (SVP Secretary, General Counsel)",SEC_FORM_4,1,Guidroz Elaine,FULL HOUSE RESORTS INC
OFFICER (SVP Strategy & Chief Risk Off),SEC_FORM_4,1,Anderson Shawn,NISOURCE INC.
OFFICER (SVP TA Instruments Division),SEC_FORM_4,1,Bennett Jianqing,WATERS CORP /DE/
OFFICER (SVP Utility Shared Services),SEC_FORM_4,1,Shannon Nancy,CONSOLIDATED EDISON INC
OFFICER (SVP Waters Adv. Diagnostics),SEC_FORM_4,1,Bennett Jianqing,WATERS CORP /DE/
OFFICER (SVP Waters Analytical Sciences),SEC_FORM_4,1,Carpio Robert L III,WATERS CORP /DE/
OFFICER (SVP Waters Division),SEC_FORM_4,1,Pratt Jonathan M,WATERS CORP /DE/
OFFICER (SVP and  General Counsel),SEC_FORM_4,1,Kane Katharine,TEXAS INSTRUMENTS INC
OFFICER (SVP and CATO),SEC_FORM_4,1,Shaw Theresa A,AMEREN CORP
OFFICER (SVP and CCO),SEC_FORM_4,1,Christensen Bret,INSULET CORP
OFFICER (SVP and CIO),SEC_FORM_4,1,Flynn Jason Paul,MARTIN MARIETTA MATERIALS INC
OFFICER (SVP and CLO),SEC_FORM_4,1,Vaske Christopher J.,"PFS Bancorp, Inc."
OFFICER (SVP and Chief Financial Office),SEC_FORM_4,1,Chaubal Amol,WATERS CORP /DE/
OFFICER (SVP and Chief Operating Office),SEC_FORM_4,1,Malloy Brian J,CARPENTER TECHNOLOGY CORP
OFFICER (SVP and Chief People Officer),SEC_FORM_4,1,Krishnamurthy Nikki,"Uber Technologies, Inc"
OFFICER (SVP and Chief Public Affairs),SEC_FORM_4,1,BLUM JONATHAN DAVID,YUM BRANDS INC
OFFICER (SVP and Chief Strategy Officer),SEC_FORM_4,1,Rothenstein David M,CIENA CORP
OFFICER (SVP and Chief Tech. Officer),SEC_FORM_4,1,Amin Jaymin,CORNING INC /NY
OFFICER (SVP and Deputy Co-COO),SEC_FORM_4,1,Zhang Kevin Xiaoqiang,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
OFFICER (SVP and GC),SEC_FORM_4,1,Braun Jeffrey N,Allegion plc
OFFICER (SVP and GM),SEC_FORM_4,1,Thompson Frederick Michael,GENESIS ENERGY LP
"OFFICER (SVP and GM, Optical Comm.)",SEC_FORM_4,1,O'Day Michael Paul,CORNING INC /NY
"OFFICER (SVP and GM, Personal Care)",SEC_FORM_4,1,MINICUCCI JAMES P.,ASHLAND INC.
"OFFICER (SVP and GM, Specialty Products)",SEC_FORM_4,1,van Gunsteren Job Leonard,BALCHEM CORP
OFFICER (SVP and Group President - SAO),SEC_FORM_4,1,Malloy Brian J,CARPENTER TECHNOLOGY CORP
OFFICER (SVP and Group President SAO),SEC_FORM_4,1,Malloy Brian J,CARPENTER TECHNOLOGY CORP
OFFICER (SVP and Group VP SAO),SEC_FORM_4,1,Malloy Brian J,CARPENTER TECHNOLOGY CORP
"OFFICER (SVP and Pres, Optimized LED)",SEC_FORM_4,1,Clark Joseph Gates,"Penguin Solutions, Inc."
"OFFICER (SVP and President, EMEA)",SEC_FORM_4,1,Glew Mandy,BALL Corp
"OFFICER (SVP and President, NIPSCO)",SEC_FORM_4,1,Hooper Michael,NISOURCE INC.
OFFICER (SVP eMobility & Corp Strategy),SEC_FORM_4,1,Cole Matthew,LITTELFUSE INC /DE
OFFICER (SVP of Accounting),SEC_FORM_4,1,Sellers Jeanette,"nCino, Inc."
OFFICER (SVP of Continuous Improvement),SEC_FORM_4,1,HANIFORD JOSEPH E,CARPENTER TECHNOLOGY CORP
OFFICER (SVP of Engineering),SEC_FORM_4,1,Goldberg Chen,"CoreWeave, Inc."
OFFICER (SVP of Enterprise Strategy),SEC_FORM_4,1,Carrasco Rafael,WASTE MANAGEMENT INC
OFFICER (SVP of Human Resources),SEC_FORM_4,1,Green Paula,Twist Bioscience Corp
OFFICER (SVP of Product and Innovation),SEC_FORM_4,1,Croke Gary,"AVIAT NETWORKS, INC."
OFFICER (SVP of Strategic Development),SEC_FORM_4,1,Schlicher Jake,Ferguson Enterprises Inc. /DE/
OFFICER (SVP& Chief Accounting Officer),SEC_FORM_4,1,Grubb Michael J.,"Toll Brothers, Inc."
"OFFICER (SVP&GM Auto., Life Sc. & Solar)",SEC_FORM_4,1,Nelson Avery H III,CORNING INC /NY
"OFFICER (SVP&GM Auto., Solar & Life Sc,)",SEC_FORM_4,1,Nelson Avery H III,CORNING INC /NY
OFFICER (SVP&GM Display & Corning Asia),SEC_FORM_4,1,Zhang John Z,CORNING INC /NY
"OFFICER (SVP&GM Display, MCE & Asia)",SEC_FORM_4,1,Zhang John Z,CORNING INC /NY
OFFICER (SVP&GM Glass Innov. & Asia),SEC_FORM_4,1,Zhang John Z,CORNING INC /NY
"OFFICER (SVP,  CFO & Treasurer)",SEC_FORM_4,1,Fink Benjamin Matthew,"Western Gas Equity Partners, LP"
"OFFICER (SVP,  GC and Corp. Secretary)",SEC_FORM_4,1,Tablin-Wolf Alex,Axalta Coating Systems Ltd.
"OFFICER (SVP, Accounting)",SEC_FORM_4,1,Leary Susan Michelle,Grocery Outlet Holding Corp.
"OFFICER (SVP, Advanced Technology Group)",SEC_FORM_4,1,Revankar Shriram,"Dolby Laboratories, Inc."
"OFFICER (SVP, Advanced Technology)",SEC_FORM_4,1,Abdel-Malek Aiman,INSULET CORP
"OFFICER (SVP, Amphenol FCI)",SEC_FORM_4,1,Schneider Richard,AMPHENOL CORP /DE/
"OFFICER (SVP, Andes SBU President)",SEC_FORM_4,1,Nebreda Julian,AES CORP
"OFFICER (SVP, Applied Global Services)",SEC_FORM_4,1,Deane Timothy M,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Applied Technology)",SEC_FORM_4,1,Khanna Rohit,WATERS CORP /DE/
"OFFICER (SVP, Arch Spec & Bus Dev)",SEC_FORM_4,1,Winters Michael Carl,ARMSTRONG WORLD INDUSTRIES INC
"OFFICER (SVP, Asset Development)",SEC_FORM_4,1,Bridges Jennifer,Murphy USA Inc.
"OFFICER (SVP, Bus Dev, General Counsel)",SEC_FORM_4,1,Imam Tariq,"LISATA THERAPEUTICS, INC."
"OFFICER (SVP, Business Ops Americas)",SEC_FORM_4,1,Restrepo Eduardo,"O-I Glass, Inc. /DE/"
"OFFICER (SVP, C Procur Of, Corp Dev Of)",SEC_FORM_4,1,HODES SANFORD J.,RYDER SYSTEM INC
"OFFICER (SVP, CAO, Controller)",SEC_FORM_4,1,DiRienzo Dimitry,"ASSURANT, INC."
"OFFICER (SVP, CCIO)",SEC_FORM_4,1,Hyman Ryan L,SPIRE INC
"OFFICER (SVP, CFO & CRO)",SEC_FORM_4,1,Matz Gregory W,COOPER COMPANIES INC
"OFFICER (SVP, CFO and Secretary)",SEC_FORM_4,1,Ahlholm Frederick W,"Minerva Neurosciences, Inc."
"OFFICER (SVP, CFO and Strategy)",SEC_FORM_4,1,K. Jon Taylor,FIRSTENERGY CORP
"OFFICER (SVP, CFO and Treasurer)",SEC_FORM_4,1,Wall Christopher K,BlueLinx Holdings Inc.
"OFFICER (SVP, CFO, Chief Acct. Officer)",SEC_FORM_4,1,Nalbandian Jason R,"EMCOR Group, Inc."
"OFFICER (SVP, CHIEF ACCT OFF)",SEC_FORM_4,1,Hukkanen Paul,SCHOLASTIC CORP
"OFFICER (SVP, CHIEF LEGAL OFFICER)",SEC_FORM_4,1,Snyder Mark Howard,"HALOZYME THERAPEUTICS, INC."
"OFFICER (SVP, CHIEF NUCLEAR OFFICER)",SEC_FORM_4,1,Reasoner Cleveland O III,"Evergy, Inc."
"OFFICER (SVP, CHIEF OPERATING OFFICER)",SEC_FORM_4,1,WOELFER W. TODD,THOR INDUSTRIES INC
"OFFICER (SVP, CHIEF OPERATIONS OFFICER)",SEC_FORM_4,1,Veler James L Jr,VIAVI SOLUTIONS INC.
"OFFICER (SVP, CHR & Transf. Officer)",SEC_FORM_4,1,Scalia Christopher M,HERSHEY CO
"OFFICER (SVP, CHRO & Corporate Services)",SEC_FORM_4,1,Walker Christine,FIRSTENERGY CORP
"OFFICER (SVP, CIO & Head of Prot. Fort.)",SEC_FORM_4,1,Leonard Michael J,Ingredion Inc
"OFFICER (SVP, CLCO and Secretary)",SEC_FORM_4,1,Jean-Claude Carine Lamercie,"ARROW ELECTRONICS, INC."
"OFFICER (SVP, CLO and Secretary)",SEC_FORM_4,1,Fernandez Amy M.,TREX CO INC
"OFFICER (SVP, CLO)",SEC_FORM_4,1,Little Teri A.,APPLIED MATERIALS INC /DE
"OFFICER (SVP, CLO, Corporate Secretary)",SEC_FORM_4,1,Canning Susan M.,"Hayward Holdings, Inc."
"OFFICER (SVP, CLO, Secretary & CCO)",SEC_FORM_4,1,Lake Robert Alexander,ROYAL CARIBBEAN CRUISES LTD
"OFFICER (SVP, CLO, and Corp. Sec'y)",SEC_FORM_4,1,Koenig Amy,Dakota Gold Corp.
"OFFICER (SVP, CMC & Formulation)",SEC_FORM_4,1,Tenjarla Srini,"Serina Therapeutics, Inc."
"OFFICER (SVP, COO, Pres. New Enrgy Tech)",SEC_FORM_4,1,Falu Ricardo Manuel,AES CORP
"OFFICER (SVP, COO, The Americas)",SEC_FORM_4,1,Krueger William J.,GREENBRIER COMPANIES INC
"OFFICER (SVP, CORP. SERVICES & CLO)",SEC_FORM_4,1,Hair Cara M.,"Helmerich & Payne, Inc."
"OFFICER (SVP, CRSO)",SEC_FORM_4,1,Giustini Louis J,FRANKLIN FINANCIAL SERVICES CORP /PA/
"OFFICER (SVP, CSDO & Interim CFO)",SEC_FORM_4,1,Allouche Danny Gilad,Avery Dennison Corp
"OFFICER (SVP, CTO)",SEC_FORM_4,1,Martin David A,TITAN INTERNATIONAL INC
"OFFICER (SVP, Capital Markets & Risk)",SEC_FORM_4,1,Campbell Renee L,VALMONT INDUSTRIES INC
"OFFICER (SVP, Central America)",SEC_FORM_4,1,Pelaez Reyes Jorge,FRESH DEL MONTE PRODUCE INC
"OFFICER (SVP, Chf HR Ofcr)",SEC_FORM_4,1,Holt Adrian James,EASTMAN CHEMICAL CO
"OFFICER (SVP, Chief Acct Officer & CFO)",SEC_FORM_4,1,Nalbandian Jason R,"EMCOR Group, Inc."
"OFFICER (SVP, Chief Acct Officer & Cont)",SEC_FORM_4,1,Zipperle Cynthia H,HUMANA INC
"OFFICER (SVP, Chief Business Officer)",SEC_FORM_4,1,Schindler Philipp,Alphabet Inc.
"OFFICER (SVP, Chief Compliance Officer)",SEC_FORM_4,1,Kane Julie,PG&E Corp
"OFFICER (SVP, Chief Fuels Officer)",SEC_FORM_4,1,Emery Keith A.,Murphy USA Inc.
"OFFICER (SVP, Chief H.R. Officer)",SEC_FORM_4,1,COLLINS KATHRYN A.,ENTERGY CORP /DE/
"OFFICER (SVP, Chief Merchandising Off.)",SEC_FORM_4,1,Woodward Scott G.,Murphy USA Inc.
"OFFICER (SVP, Chief Merchant Officer)",SEC_FORM_4,1,KINDER JOSEPH,"TILE SHOP HOLDINGS, INC."
"OFFICER (SVP, Chief Operations Officer)",SEC_FORM_4,1,Petrucci Anthony Michael,VIAVI SOLUTIONS INC.
"OFFICER (SVP, Chief Quality Officer)",SEC_FORM_4,1,Kunzler Jacqueline,BAXTER INTERNATIONAL INC
"OFFICER (SVP, Chief Retail Officer)",SEC_FORM_4,1,Bacon Renee M,Murphy USA Inc.
"OFFICER (SVP, Chief Supply Chain Ofcr)",SEC_FORM_4,1,Milanes Douglas J.,DARDEN RESTAURANTS INC
"OFFICER (SVP, Chief Supply Chain Offr)",SEC_FORM_4,1,Kostalnick Charles II,ARROW ELECTRONICS INC
"OFFICER (SVP, Chief Tech & Digital Ofc)",SEC_FORM_4,1,Fish Kevin,"Dave & Buster's Entertainment, Inc."
"OFFICER (SVP, Chief Technical Officer)",SEC_FORM_4,1,Beneski Benjamin Machinas,"Allogene Therapeutics, Inc."
"OFFICER (SVP, Clinical Development)",SEC_FORM_4,1,Xu Cong Claire,NovaBridge Biosciences
"OFFICER (SVP, Clinical Solutions)",SEC_FORM_4,1,KUPPUSAMY KARTHIK,QUEST DIAGNOSTICS INC
"OFFICER (SVP, Commercial & Customer)",SEC_FORM_4,1,McFarland John Carter,PORTLAND GENERAL ELECTRIC CO /OR/
"OFFICER (SVP, Communications & Brand)",SEC_FORM_4,1,YAZDI CYNTHIA,"Motorola Solutions, Inc."
"OFFICER (SVP, Cont & Chief Acct Officer)",SEC_FORM_4,1,Clark James David,CVS HEALTH Corp
"OFFICER (SVP, Controller & CTO)",SEC_FORM_4,1,Cox Jeremy,Hewlett Packard Enterprise Co
"OFFICER (SVP, Controller (P. Acct Ofc.))",SEC_FORM_4,1,Lialios Christopher,"Ulta Beauty, Inc."
"OFFICER (SVP, Controller, CTO & CFO)",SEC_FORM_4,1,Cox Jeremy,Hewlett Packard Enterprise Co
"OFFICER (SVP, Controllership)",SEC_FORM_4,1,Patterson Sandra,"GILEAD SCIENCES, INC."
"OFFICER (SVP, Corning Intl & NBD, Solar)",SEC_FORM_4,1,Fang Li,CORNING INC /NY
"OFFICER (SVP, Corp Affairs & HR)",SEC_FORM_4,1,Larroque Alexander Lisa,SEMPRA
"OFFICER (SVP, Corp Affairs and HR)",SEC_FORM_4,1,Larroque Alexander Lisa,SEMPRA
"OFFICER (SVP, Corp Business Services)",SEC_FORM_4,1,HARBERT JULIE E,ENTERGY CORP /DE/
"OFFICER (SVP, Corp Contr & Treasurer)",SEC_FORM_4,1,RUSSELL DOUGLAS K,"TRAVELERS COMPANIES, INC."
"OFFICER (SVP, Corp Controller & CAO)",SEC_FORM_4,1,Call Michael Andrew,"Mondelez International, Inc."
"OFFICER (SVP, Corp Mkt, PMO & Glob Svc)",SEC_FORM_4,1,Henry David Philip,MKS INSTRUMENTS INC
"OFFICER (SVP, Corp. Controller and CAO*)",SEC_FORM_4,1,Scarpelli Alexander P,REGAL REXNORD CORP
"OFFICER (SVP, Corporate Affairs)",SEC_FORM_4,1,Hensley Jennifer,CONSOLIDATED EDISON INC
"OFFICER (SVP, Corporate Development)",SEC_FORM_4,1,Fuchsberg Gilbert,"ROKU, INC"
"OFFICER (SVP, Corporate Shared Services)",SEC_FORM_4,1,Kelly Mary,CONSOLIDATED EDISON INC
"OFFICER (SVP, Corporate Strategy)",SEC_FORM_4,1,Moreno Leonardo,AES CORP
"OFFICER (SVP, Customers)",SEC_FORM_4,1,Clerc Alexandre,"Frontier Group Holdings, Inc."
"OFFICER (SVP, Dr of Trust & Wealth Mgmt)",SEC_FORM_4,1,Globokar Brian R.,HILLS BANCORPORATION
"OFFICER (SVP, E&P Asset Management)",SEC_FORM_4,1,Raines John David,DEVON ENERGY CORP/DE
"OFFICER (SVP, E&P Operations)",SEC_FORM_4,1,Hellman Thomas Jeffrey,DEVON ENERGY CORP/DE
"OFFICER (SVP, Elec Ops, PacificGas&Elec)",SEC_FORM_4,1,Lewis Michael A,PG&E Corp
"OFFICER (SVP, Engineer., Ops. & Quality)",SEC_FORM_4,1,ADDIEGO GINETTO,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Enterprise Services)",SEC_FORM_4,1,SHEETS JUSTIN D,MATRIX SERVICE CO
"OFFICER (SVP, Entertainment)",SEC_FORM_4,1,Couling John D,"Dolby Laboratories, Inc."
"OFFICER (SVP, Entrepreneurial Devlopmt)",SEC_FORM_4,1,Ronaghi Mostafa,"ILLUMINA, INC."
"OFFICER (SVP, Executive Advisor)",SEC_FORM_4,1,West David Alan,ARROW ELECTRONICS INC
"OFFICER (SVP, FIELD OPERATIONS)",SEC_FORM_4,1,BROWN PATRICK SIDNEY,CENTRUS ENERGY CORP
"OFFICER (SVP, Fin & Tax; Chief Actg Off)",SEC_FORM_4,1,Ricupati Agostino,COOPER COMPANIES INC
"OFFICER (SVP, Fin/Treas, Chief Actg Off)",SEC_FORM_4,1,Nisco James,"LISATA THERAPEUTICS, INC."
"OFFICER (SVP, Finance & CAO)",SEC_FORM_4,1,PLATT PHILLIP JOHN,Ingevity Corp
"OFFICER (SVP, Finance & Controller)",SEC_FORM_4,1,Becker Stefan,CORNING INC /NY
"OFFICER (SVP, Finance & Treasurer)",SEC_FORM_4,1,Karros Kirt P,Hewlett Packard Enterprise Co
"OFFICER (SVP, Finance)",SEC_FORM_4,1,Yoshiyama Annie,"Allogene Therapeutics, Inc."
"OFFICER (SVP, GBL CORP CONTRL & CAO)",SEC_FORM_4,1,HOFFMEISTER JAMES H,VISA INC.
"OFFICER (SVP, GC & Corp Sec)",SEC_FORM_4,1,Cuccia Kimberly S,NISOURCE INC.
"OFFICER (SVP, GC AND SECRETARY)",SEC_FORM_4,1,Gladbach EDWIN F,"AMC ENTERTAINMENT HOLDINGS, INC."
"OFFICER (SVP, GC and Corp Secretary)",SEC_FORM_4,1,Ryan Sharon R.,INTERNATIONAL PAPER CO /NEW/
"OFFICER (SVP, GC and Corp. Secretary)",SEC_FORM_4,1,Saab Joseph R.,INTERNATIONAL PAPER CO /NEW/
"OFFICER (SVP, GC, CAO & Corp Sec)",SEC_FORM_4,1,Anderson Lisa M,IDEX CORP /DE/
"OFFICER (SVP, GC, Secretary & CCO)",SEC_FORM_4,1,Braun Jeffrey N,Allegion plc
"OFFICER (SVP, GC, and Corp. Secretary)",SEC_FORM_4,1,Galla Christopher T,GENUINE PARTS CO
"OFFICER (SVP, GENERAL COUNSEL & SEC)",SEC_FORM_4,1,FALSTAD DANIEL T.,ENTERGY CORP /DE/
"OFFICER (SVP, GENERATION & OPS SUPPORT)",SEC_FORM_4,1,BRIDSON JOHN T,"Evergy, Inc."
"OFFICER (SVP, GLOBAL SALES & SERVICE)",SEC_FORM_4,1,Wilkerson Susan,VEECO INSTRUMENTS INC
"OFFICER (SVP, GM GBEs Turbo Tech)",SEC_FORM_4,1,Rodrigues Mark Albert,Garrett Motion Inc.
"OFFICER (SVP, GM of Compute)",SEC_FORM_4,1,MacDonald Neil B,Hewlett Packard Enterprise Co
"OFFICER (SVP, GM of Storage)",SEC_FORM_4,1,Black Thomas E Jr,Hewlett Packard Enterprise Co
"OFFICER (SVP, GM, HPC and AI)",SEC_FORM_4,1,Hotard Justin,Hewlett Packard Enterprise Co
"OFFICER (SVP, Gas Operations)",SEC_FORM_4,1,Kelly Mary,CONSOLIDATED EDISON INC
"OFFICER (SVP, Gen Counsel & Corp Sec)",SEC_FORM_4,1,D'Angelo Anne-Marie W,NISOURCE INC.
"OFFICER (SVP, Gen Counsel & Sec)",SEC_FORM_4,1,DEE JAMES D,CARPENTER TECHNOLOGY CORP
"OFFICER (SVP, Gen'l Counsel & Secretary)",SEC_FORM_4,1,COOK STEVEN M,PULTEGROUP INC/MI/
"OFFICER (SVP, Gen. Counsel & Secy.)",SEC_FORM_4,1,Graham Jonathan P,AMGEN INC
"OFFICER (SVP, General Counsel & Sec'y)",SEC_FORM_4,1,Link Janet,"STANLEY BLACK & DECKER, INC."
"OFFICER (SVP, General Counsel & Secty)",SEC_FORM_4,1,Lagomarcino Mark S.,PRINCIPAL FINANCIAL GROUP INC
"OFFICER (SVP, General Counsel &Corp Sec)",SEC_FORM_4,1,Anderson Lisa M,IDEX CORP /DE/
"OFFICER (SVP, General Counsel and CLO)",SEC_FORM_4,1,Beaver Stephen J,BENCHMARK ELECTRONICS INC
"OFFICER (SVP, General Counsel and Sec.)",SEC_FORM_4,1,Whitford Ronald Owen Jr,"BWX Technologies, Inc."
"OFFICER (SVP, General Counsel&Secretery)",SEC_FORM_4,1,Poppen Joel L,MICRON TECHNOLOGY INC
"OFFICER (SVP, General Manager Europe)",SEC_FORM_4,1,Lawson Shawn,Sylvamo Corp
"OFFICER (SVP, General Manager)",SEC_FORM_4,1,Thomas David Brian,HYCROFT MINING HOLDING CORP
